0   395  73 
1   378  76 
2   374  77 
3   364  78 
4   350  79 
5   343  80 
6   330  83 
7   322  83 
8   306  85 
9   295  85 
10  283  87 
11  276  89 
12  268  91 
13  260  97 
14  255  100
15  354  102
16  342  103
17  330  103
18  319  105
19  307  107
20  303  108
21  293  109
22  284  110
23  273  114
24  263  115
25  254  118
26  246  119
27  240  122
28  235  122
29  226  124
30  220  124
31  207  124
32  201  124
33  196  124
34  189  124
35  186  124
36  184  124
37  179  124
38  172  124
39  168  124
40  158  124
41  154  124
42  152  124
43  149  124
44  142  124
45  135  124
46  130  124
47  125  124
48  120  123
49  118  123
50  115  123
51  108  123
52  104  123
53  102  123
54  99   123
55  93   123
56  88   122
57  87   122
58  85   122
59  83   122
60  81   124
61  79   128
62  74   129
63  71   129
64  68   131
65  67   132
66  66   135
67  63   134
68  61   136
69  60   138
70  59   140
71  57   142
72  57   146
73  56   149
74  54   152
75  54   153
76  51   153
77  50   153
78  50   154
79  49   157
80  48   158
81  47   160
82  47   161
83  46   165
84  46   166
85  43   168
86  43   169
87  41   172
88  40   172
89  38   173
90  36   173
91  36   173
92  35   173
93  35   173
94  33   173
95  33   173
96  33   173
97  33   173
98  33   173
99  33   173
100 32   173
101 31   172
102 31   172
103 30   172
104 29   172
105 29   172
106 29   172
107 27   172
108 27   172
109 27   172
110 26   172
111 26   172
112 25   172
113 23   172
114 22   172
115 21   172
116 21   172
117 21   172
118 21   172
119 21   172
120 21   174
121 20   181
122 20   185
123 20   187
124 20   189
125 19   191
126 19   195
127 19   197
128 18   199
129 17   203
130 17   205
131 15   209
132 15   215
133 14   223
134 14   231
135 14   236
136 14   238
137 14   240
138 14   241
139 13   245
140 13   247
141 13   249
142 13   252
143 12   256
144 12   261
145 11   265
146 11   268
147 10   272
148 10   274
149 10   276
150 10   278
151 10   278
152 10   278
153 10   278
154 10   278
155 9    278
156 9    278
157 9    278
158 9    278
159 9    278
160 8    278
161 7    278
162 7    278
163 7    278
164 7    278
165 7    278
166 7    278
167 0    278
